Sentence, label
May I ask where you are staying at the moment?, 1
I believe these experiences are very helpful!, 1
What is the age of your grandmother?, 0
How come you've never rode a bicycle before?, 0
Where do your parents live?, 0
What is your middle name?, 0
I am tired of this fucking bullshit., -1
You can not compare apples with pears., 0
What the fuck are you doing?, -1
Well that was fucking funny., 0
Oh shit I didn't see that coming., 0
Oh deer what just happened?, 0
Never in my entire bloody life have I been so mad!, -1
May I show you around the exposition?, 1
A lot of hot air if you ask me., 0
Have you ever traveled by airplane?, 0
What's all the fuss about?, 0
The problem is that I am doing all the work while you guys sit there and relax!, -1
I strongly suggest you stop doing that right now!, -1
Stop fucking around you., -1
Let celebrate with a cup of tea perhaps., 1
I am living in Amsterdam for the last four years., 0
All the millennials are saying: 'What's the habs?', 0
I think that girl is crazy in love with you!, 0
During carnival Eindhoven is called Lampegat., 0
That's very odd isn't it?, 0
What the hell is your problem, -1
It is perfectly possible but just bloody difficult., 1
Stop harassing me you filthy hobo., -1
Do you sincerely feel that way about me?, 1
